"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Exports","2021","Foreign ownership","Midlands","Euro Million","2227"
"Total Exports","2022","All Enterprise ownership","Ireland","Euro Million","427416"
"Total Exports","2022","All Enterprise ownership","Border","Euro Million","7138"
"Total Exports","2022","All Enterprise ownership","West","Euro Million","15265"
"Total Exports","2022","All Enterprise ownership","Mid West","Euro Million","18680"
"Total Exports","2022","All Enterprise ownership","South East","Euro Million","15569"
"Total Exports","2022","All Enterprise ownership","South West","Euro Million","82799"
"Total Exports","2022","All Enterprise ownership","Dublin","Euro Million","274152"
"Total Exports","2022","All Enterprise ownership","Mid East","Euro Million","10661"
"Total Exports","2022","All Enterprise ownership","Midlands","Euro Million","3152"
"Total Exports","2022","Irish ownership","Ireland","Euro Million","31846"
"Total Exports","2022","Irish ownership","Border","Euro Million","3958"
"Total Exports","2022","Irish ownership","West","Euro Million","1787"
"Total Exports","2022","Irish ownership","Mid West","Euro Million","1968"
"Total Exports","2022","Irish ownership","South East","Euro Million","3817"
"Total Exports","2022","Irish ownership","South West","Euro Million","3238"
"Total Exports","2022","Irish ownership","Dublin","Euro Million","12443"
"Total Exports","2022","Irish ownership","Mid East","Euro Million","3408"
"Total Exports","2022","Irish ownership","Midlands","Euro Million","1227"
"Total Exports","2022","Foreign ownership","Ireland","Euro Million","395571"
"Total Exports","2022","Foreign ownership","Border","Euro Million","3180"
"Total Exports","2022","Foreign ownership","West","Euro Million","13477"
"Total Exports","2022","Foreign ownership","Mid West","Euro Million","16713"
"Total Exports","2022","Foreign ownership","South East","Euro Million","11752"
"Total Exports","2022","Foreign ownership","South West","Euro Million","79561"
"Total Exports","2022","Foreign ownership","Dublin","Euro Million","261709"
"Total Exports","2022","Foreign ownership","Mid East","Euro Million","7253"
"Total Exports","2022","Foreign ownership","Midlands","Euro Million","1925"
"Total Exports","2023","All Enterprise ownership","Ireland","Euro Million","458006"
"Total Exports","2023","All Enterprise ownership","Border","Euro Million","7627"
"Total Exports","2023","All Enterprise ownership","West","Euro Million","15698"
"Total Exports","2023","All Enterprise ownership","Mid West","Euro Million","20185"
"Total Exports","2023","All Enterprise ownership","South East","Euro Million","10552"
"Total Exports","2023","All Enterprise ownership","South West","Euro Million","81486"
"Total Exports","2023","All Enterprise ownership","Dublin","Euro Million","308413"
"Total Exports","2023","All Enterprise ownership","Mid East","Euro Million","10793"
"Total Exports","2023","All Enterprise ownership","Midlands","Euro Million","3251"
"Total Exports","2023","Irish ownership","Ireland","Euro Million","33586"
"Total Exports","2023","Irish ownership","Border","Euro Million","4206"
"Total Exports","2023","Irish ownership","West","Euro Million","1865"
"Total Exports","2023","Irish ownership","Mid West","Euro Million","2161"
"Total Exports","2023","Irish ownership","South East","Euro Million","3652"
"Total Exports","2023","Irish ownership","South West","Euro Million","3240"
"Total Exports","2023","Irish ownership","Dublin","Euro Million","13488"
"Total Exports","2023","Irish ownership","Mid East","Euro Million","3726"
"Total Exports","2023","Irish ownership","Midlands","Euro Million","1248"
"Total Exports","2023","Foreign ownership","Ireland","Euro Million","424420"
"Total Exports","2023","Foreign ownership","Border","Euro Million","3422"
"Total Exports","2023","Foreign ownership","West","Euro Million","13834"
"Total Exports","2023","Foreign ownership","Mid West","Euro Million","18024"
"Total Exports","2023","Foreign ownership","South East","Euro Million","6900"
"Total Exports","2023","Foreign ownership","South West","Euro Million","78247"
"Total Exports","2023","Foreign ownership","Dublin","Euro Million","294924"
"Total Exports","2023","Foreign ownership","Mid East","Euro Million","7067"
"Total Exports","2023","Foreign ownership","Midlands","Euro Million","2003"
"Total Sales to Ornua","2000","All Enterprise ownership","Ireland","Euro Million","687"
"Total Sales to Ornua","2000","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2000","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2000","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2000","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2000","All Enterprise ownership","South West","Euro Million","280"
"Total Sales to Ornua","2000","All Enterprise ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2000","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2000","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2000","Irish ownership","Ireland","Euro Million","687"
"Total Sales to Ornua","2000","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2000","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2000","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2000","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2000","Irish ownership","South West","Euro Million","280"
"Total Sales to Ornua","2000","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2000","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2000","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","Ireland","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2000","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2001","All Enterprise ownership","Ireland","Euro Million","703"
"Total Sales to Ornua","2001","All Enterprise ownership","Border","Euro Million","162"
"Total Sales to Ornua","2001","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2001","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2001","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2001","All Enterprise ownership","South West","Euro Million","326"
"Total Sales to Ornua","2001","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2001","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2001","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2001","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2001","Irish ownership","Border","Euro Million","162"
"Total Sales to Ornua","2001","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2001","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2001","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2001","Irish ownership","South West","Euro Million","326"
"Total Sales to Ornua","2001","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2001","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2001","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2001","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2001","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2001","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2001","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2001","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2001","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2001","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2001","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2001","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2002","All Enterprise ownership","Ireland","Euro Million","683"
"Total Sales to Ornua","2002","All Enterprise ownership","Border","Euro Million","198"
"Total Sales to Ornua","2002","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2002","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2002","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2002","All Enterprise ownership","South West","Euro Million","232"
"Total Sales to Ornua","2002","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2002","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2002","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2002","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2002","Irish ownership","Border","Euro Million","198"
"Total Sales to Ornua","2002","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2002","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2002","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2002","Irish ownership","South West","Euro Million","232"
"Total Sales to Ornua","2002","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2002","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2002","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2002","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2002","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2002","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2002","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2002","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2002","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2002","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2002","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2002","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2003","All Enterprise ownership","Ireland","Euro Million","647"
"Total Sales to Ornua","2003","All Enterprise ownership","Border","Euro Million","154"
"Total Sales to Ornua","2003","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2003","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2003","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2003","All Enterprise ownership","South West","Euro Million","246"
"Total Sales to Ornua","2003","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2003","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2003","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2003","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2003","Irish ownership","Border","Euro Million","154"
"Total Sales to Ornua","2003","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2003","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2003","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2003","Irish ownership","South West","Euro Million","246"
"Total Sales to Ornua","2003","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2003","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2003","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2003","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2003","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2003","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2003","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2003","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2003","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2003","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2003","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2003","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2004","All Enterprise ownership","Ireland","Euro Million","626"
"Total Sales to Ornua","2004","All Enterprise ownership","Border","Euro Million","162"
"Total Sales to Ornua","2004","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2004","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2004","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2004","All Enterprise ownership","South West","Euro Million","257"
"Total Sales to Ornua","2004","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2004","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2004","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2004","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2004","Irish ownership","Border","Euro Million","162"
"Total Sales to Ornua","2004","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2004","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2004","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2004","Irish ownership","South West","Euro Million","257"
"Total Sales to Ornua","2004","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2004","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2004","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2004","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2004","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2004","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2004","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2004","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2004","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2004","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2004","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2004","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2005","All Enterprise ownership","Ireland","Euro Million","627"
"Total Sales to Ornua","2005","All Enterprise ownership","Border","Euro Million","141"
"Total Sales to Ornua","2005","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2005","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2005","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2005","All Enterprise ownership","South West","Euro Million","250"
"Total Sales to Ornua","2005","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2005","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2005","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2005","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2005","Irish ownership","Border","Euro Million","141"
"Total Sales to Ornua","2005","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2005","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2005","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2005","Irish ownership","South West","Euro Million","250"
"Total Sales to Ornua","2005","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2005","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2005","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2005","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2005","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2005","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2005","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2005","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2005","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2005","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2005","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2005","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2006","All Enterprise ownership","Ireland","Euro Million","654"
"Total Sales to Ornua","2006","All Enterprise ownership","Border","Euro Million","141"
"Total Sales to Ornua","2006","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2006","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2006","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2006","All Enterprise ownership","South West","Euro Million","248"
"Total Sales to Ornua","2006","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2006","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2006","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2006","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2006","Irish ownership","Border","Euro Million","141"
"Total Sales to Ornua","2006","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2006","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2006","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2006","Irish ownership","South West","Euro Million","248"
"Total Sales to Ornua","2006","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2006","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2006","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2006","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2006","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2006","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2006","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2006","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2006","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2006","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2006","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2006","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2007","All Enterprise ownership","Ireland","Euro Million","960"
"Total Sales to Ornua","2007","All Enterprise ownership","Border","Euro Million","161"
"Total Sales to Ornua","2007","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2007","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2007","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2007","All Enterprise ownership","South West","Euro Million","453"
"Total Sales to Ornua","2007","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2007","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2007","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2007","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2007","Irish ownership","Border","Euro Million","161"
"Total Sales to Ornua","2007","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2007","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2007","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2007","Irish ownership","South West","Euro Million","453"
"Total Sales to Ornua","2007","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2007","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2007","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2007","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2007","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2007","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2007","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2007","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2007","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2007","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2007","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2007","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2008","All Enterprise ownership","Ireland","Euro Million","730"
"Total Sales to Ornua","2008","All Enterprise ownership","Border","Euro Million","138"
"Total Sales to Ornua","2008","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2008","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2008","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2008","All Enterprise ownership","South West","Euro Million","274"
"Total Sales to Ornua","2008","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2008","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2008","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2008","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2008","Irish ownership","Border","Euro Million","138"
"Total Sales to Ornua","2008","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2008","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2008","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2008","Irish ownership","South West","Euro Million","274"
"Total Sales to Ornua","2008","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2008","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2008","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2008","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2008","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2008","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2008","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2008","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2008","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2008","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2008","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2008","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2009","All Enterprise ownership","Ireland","Euro Million","547"
"Total Sales to Ornua","2009","All Enterprise ownership","Border","Euro Million","73"
"Total Sales to Ornua","2009","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2009","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2009","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2009","All Enterprise ownership","South West","Euro Million","221"
"Total Sales to Ornua","2009","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2009","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2009","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2009","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2009","Irish ownership","Border","Euro Million","73"
"Total Sales to Ornua","2009","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2009","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2009","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2009","Irish ownership","South West","Euro Million","221"
"Total Sales to Ornua","2009","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2009","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2009","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2009","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2009","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2009","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2009","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2009","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2009","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2009","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2009","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2009","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2010","All Enterprise ownership","Ireland","Euro Million","700"
"Total Sales to Ornua","2010","All Enterprise ownership","Border","Euro Million","89"
"Total Sales to Ornua","2010","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2010","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2010","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2010","All Enterprise ownership","South West","Euro Million","314"
"Total Sales to Ornua","2010","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2010","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2010","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2010","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2010","Irish ownership","Border","Euro Million","89"
"Total Sales to Ornua","2010","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2010","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2010","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2010","Irish ownership","South West","Euro Million","314"
"Total Sales to Ornua","2010","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2010","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2010","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2010","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2010","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2010","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2010","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2010","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2010","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2010","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2010","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2010","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2011","All Enterprise ownership","Ireland","Euro Million","709"
"Total Sales to Ornua","2011","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2011","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2011","All Enterprise ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2011","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2011","All Enterprise ownership","South West","Euro Million","340"
"Total Sales to Ornua","2011","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2011","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2011","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2011","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2011","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2011","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2011","Irish ownership","Mid West","Euro Million",""
"Total Sales to Ornua","2011","Irish ownership","South East","Euro Million",""
"Total Sales to Ornua","2011","Irish ownership","South West","Euro Million","340"
"Total Sales to Ornua","2011","Irish ownership","Dublin","Euro Million","0"
"Total Sales to Ornua","2011","Irish ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2011","Irish ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2011","Foreign ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2011","Foreign ownership","Border","Euro Million","0"
"Total Sales to Ornua","2011","Foreign ownership","West","Euro Million","0"
"Total Sales to Ornua","2011","Foreign ownership","Mid West","Euro Million","0"
"Total Sales to Ornua","2011","Foreign ownership","South East","Euro Million","0"
"Total Sales to Ornua","2011","Foreign ownership","South West","Euro Million","0"
"Total Sales to Ornua","2011","Foreign ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2011","Foreign ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2011","Foreign ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2012","All Enterprise ownership","Ireland","Euro Million","725"
"Total Sales to Ornua","2012","All Enterprise ownership","Border","Euro Million",""
"Total Sales to Ornua","2012","All Enterprise ownership","West","Euro Million","0"
"Total Sales to Ornua","2012","All Enterprise ownership","Mid West","Euro Million","100"
"Total Sales to Ornua","2012","All Enterprise ownership","South East","Euro Million",""
"Total Sales to Ornua","2012","All Enterprise ownership","South West","Euro Million","322"
"Total Sales to Ornua","2012","All Enterprise ownership","Dublin","Euro Million",""
"Total Sales to Ornua","2012","All Enterprise ownership","Mid East","Euro Million","0"
"Total Sales to Ornua","2012","All Enterprise ownership","Midlands","Euro Million","0"
"Total Sales to Ornua","2012","Irish ownership","Ireland","Euro Million",""
"Total Sales to Ornua","2012","Irish ownership","Border","Euro Million",""
"Total Sales to Ornua","2012","Irish ownership","West","Euro Million","0"
"Total Sales to Ornua","2012","Irish ownership","Mid West","Euro Million","100"
"Total Sales to Ornua","2012","Irish ownership","South East","Euro Million",""
