"Statistic Label","Year","Partner Region","Trade Flow","Percentage of Turnover Exported","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Electrical equipment (C27)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Other transport equipment (C30)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Furniture (C31)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Other manufacturing (C32)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Construction (F)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Transportation and storage (H)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Information and communication (J)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Financial and insurance activities (K)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Real estate activities (L)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Administrative and support service activities (N)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","0% Turnover Exported","Total Trade in Goods","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","274071.429"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Industry (B - E)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Manufacturing (C)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Food products (C10)","Euro Thousand","204276.205"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Beverages (C11)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Textiles (C13)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Wearing apparel (C14)","Euro Thousand","244.974"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand","2267.972"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Paper and paper products (C17)","Euro Thousand","4904.271"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand","1702.355"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand","7091.132"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Rubber and plastic products (C22)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand","3346.897"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Basic metals (C24)","Euro Thousand","442.056"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Electrical equipment (C27)","Euro Thousand","12805.436"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","8979.037"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","257.43"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Other transport equipment (C30)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Furniture (C31)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Other manufacturing (C32)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand","4792.67"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","6262.656"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Construction (F)","Euro Thousand","9640.066"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","596482.717"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","14768.291"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","505662.847"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","76051.579"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Transportation and storage (H)","Euro Thousand","6684.921"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand","12118.206"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Information and communication (J)","Euro Thousand","86613.674"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Financial and insurance activities (K)","Euro Thousand","20543.141"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Real estate activities (L)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand","55078.012"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Administrative and support service activities (N)","Euro Thousand","77443.797"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","1-24% Turnover Exported","Total Trade in Goods","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand","8504.716"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","1025710.324"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Industry (B - E)","Euro Thousand","2985108.887"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Manufacturing (C)","Euro Thousand","2977132.788"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Food products (C10)","Euro Thousand","334496.622"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Beverages (C11)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Textiles (C13)","Euro Thousand","1821.916"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Wearing apparel (C14)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Paper and paper products (C17)","Euro Thousand","3856.958"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand","476.429"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand","12792.49"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand","1314212.051"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","67023.764"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand","2203.614"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Basic metals (C24)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","26585.607"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Electrical equipment (C27)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","10959.427"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Other transport equipment (C30)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Furniture (C31)","Euro Thousand","1168.979"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Other manufacturing (C32)","Euro Thousand","243314.157"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Construction (F)","Euro Thousand","4149.048"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","398174.46"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand","4210.509"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","374652.786"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand","19311.165"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Transportation and storage (H)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand","974.032"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Information and communication (J)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Financial and insurance activities (K)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Real estate activities (L)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand","18237.185"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Administrative and support service activities (N)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","25-49% Turnover Exported","Total Trade in Goods","Euro Thousand","4408993.671"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand","20624.526"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","49195.04"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Industry (B - E)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Manufacturing (C)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Food products (C10)","Euro Thousand","180768.204"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Beverages (C11)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Textiles (C13)","Euro Thousand","19403.563"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Wearing apparel (C14)","Euro Thousand","743.872"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Paper and paper products (C17)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand","206961.247"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","66243.097"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand","8016.977"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Basic metals (C24)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","48354.736"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand","11396.788"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Electrical equipment (C27)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","196999.199"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Other transport equipment (C30)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Furniture (C31)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Other manufacturing (C32)","Euro Thousand","108937.202"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand","43455.608"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Construction (F)","Euro Thousand","1455.2"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","752896.01"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","722063.435"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Transportation and storage (H)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand","1890.207"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Information and communication (J)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Financial and insurance activities (K)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Real estate activities (L)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Administrative and support service activities (N)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Unknown","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","50-74% Turnover Exported","Total Trade in Goods","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand","44246.06"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","945125.332"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Industry (B - E)","Euro Thousand","15095963.061"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Manufacturing (C)","Euro Thousand","15054774.741"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Food products (C10)","Euro Thousand","4120287.376"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Beverages (C11)","Euro Thousand","103317.906"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Textiles (C13)","Euro Thousand","25727.96"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Wearing apparel (C14)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand","85625.343"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Paper and paper products (C17)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand","2503460.691"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","199608.51"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Basic metals (C24)","Euro Thousand","97510.528"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","105280.598"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Computer, electronic and optical products (C26)","Euro Thousand","658894.205"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Electrical equipment (C27)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Machinery and equipment n.e.c. (C28)","Euro Thousand","475614.188"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Motor vehicles, trailers and semi-trailers (C29)","Euro Thousand","352908.135"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Other transport equipment (C30)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Furniture (C31)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Other manufacturing (C32)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Repair and installation of machinery and equipment (C33)","Euro Thousand","16103.104"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Electricity, gas, steam and air conditioning supply (D)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Water supply; sewerage, waste management and remediation activities (E)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Construction (F)","Euro Thousand","2185.111"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro Thousand","1880652.883"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Wholesale and retail trade and repair of motor vehicles and motorcycles (G45)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Wholesale trade, except of motor vehicles and motorcycles (G46)","Euro Thousand","1593396.691"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Retail trade, except of motor vehicles and motorcycles (G47)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Transportation and storage (H)","Euro Thousand","32666.526"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Accommodation and Food and Other Services (I, O to U)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Information and communication (J)","Euro Thousand","39384.258"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Financial and insurance activities (K)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Real estate activities (L)","Euro Thousand","1568.487"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Professional, scientific and technical activities (M)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Administrative and support service activities (N)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Unknown","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","75%+ Turnover Exported","Total Trade in Goods","Euro Thousand","17921741.276"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Agriculture, forestry and fishing (A)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","1235819.247"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Mining and quarrying (B)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Industry (B - E)","Euro Thousand","17068303.76"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Manufacturing (C)","Euro Thousand","16895909.757"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Food products (C10)","Euro Thousand","1200268.436"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Beverages (C11)","Euro Thousand","13540.754"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Tobacco products (C12)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Textiles (C13)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Wearing apparel (C14)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Leather and related products (C15)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Wood and wood products, except furniture (C16)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Paper and paper products (C17)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Printing and reproduction of recorded media (C18)","Euro Thousand",""
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Coke and refined petroleum products (C19)","Euro Thousand","0"
"Value","2021","EU27 countries (from 2020)","Exports","Turnover Exported - Unknown","Chemicals and chemical products (C20)","Euro Thousand",""
